id,groupid,size,group
1,1,300,0
2,1,300,0
3,1,300,0
4,1,300,0
5,2,300,1
6,2,300,1
7,2,300,1
8,2,300,1
9,2,300,1
10,2,300,1
11,2,300,1
12,2,300,1
13,2,300,1
14,2,300,1
15,2,300,1
16,3,300,2
17,2,300,1
18,3,300,2
19,2,300,1
20,3,300,2
21,3,300,2
22,2,300,1
23,2,300,1
24,2,300,1
25,2,300,1
26,2,300,1
27,3,300,2
28,1,300,0
29,1,300,0
30,1,300,0
31,1,300,0
32,1,300,0
33,1,300,0
34,2,300,1
35,2,300,1
36,2,300,1
37,2,300,1
38,2,300,1
39,2,300,1
40,2,300,1
41,3,300,2
42,3,300,2
43,3,300,2
44,3,300,2
45,3,300,2
46,1,300,0
47,1,300,0
48,1,300,0
49,1,300,0
